Marka,Fiyat,İşlemci Tipi,SSD Kapasitesi,Ram (Sistem Belleği),Ekran Kartı,Kapasite,İşletim Sistemi,Ekran Kartı Bellek Tipi,Ekran Kartı Tipi,Garanti Tipi,Ram (Sistem Belleği) Tipi,İşlemci Çekirdek Sayısı,İşlemci Nesli,İşlemci Modeli,Çözünürlük,Power Supply,Kullanım Amacı,Ekran Kartı Hafızası,Temel İşlemci Hızı (GHz),Bağlantılar,Cihaz Ağırlığı,Ekran Boyutu,İşlemci Frekansı,Ekran Yenileme Hızı,Panel Tipi,Menşei,Arttırılabilir Azami Bellek
HP,34276.34,Intel Core i5,512 GB,40 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,39882.3,Intel Core i5,2 TB,40 GB,AMD Radeon RX550,Yok,Windows,GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,30919.97,Intel Core i5,256 GB,8 GB,AMD Radeon RX550,Yok,Free Dos (İşletim Sistemi Yok),GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,37395.71,Intel Core i5,256 GB,20 GB,Nvidia GeForce GTX 1650,Yok,Windows,GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,35447.23,Intel Core i5,2 TB,8 GB,Nvidia GeForce GT 730,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,33947.05,Intel Core i5,512 GB,24 GB,AMD Radeon RX550,Yok,Windows,GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,35611.3,Intel Core i5,256 GB,36 GB,NVIDIA GeForce GT1030,Yok,Windows,GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,40149.29,Intel Core i5,2 TB,36 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,36016.24,Intel Core i5,512 GB,16 GB,Nvidia GeForce GTX 1650,Yok,Windows,GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,32834.58,Intel Core i5,512 GB,24 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,35055.07,Intel Core i5,256 GB,32 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,34814.77,Intel Core i5,512 GB,24 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,35371.01,Intel Core i5,512 GB,24 GB,NVIDIA GeForce GT1030,Yok,Windows,GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,35655.8,Intel Core i5,512 GB,36 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
