Marka,Fiyat,İşlemci Tipi,SSD Kapasitesi,Ram (Sistem Belleği),Ekran Kartı,Kapasite,İşletim Sistemi,Ekran Kartı Bellek Tipi,Ekran Kartı Tipi,Garanti Tipi,Ram (Sistem Belleği) Tipi,İşlemci Çekirdek Sayısı,İşlemci Nesli,İşlemci Modeli,Çözünürlük,Power Supply,Kullanım Amacı,Ekran Kartı Hafızası,Temel İşlemci Hızı (GHz),Bağlantılar,Cihaz Ağırlığı,Ekran Boyutu,İşlemci Frekansı,Ekran Yenileme Hızı,Panel Tipi,Menşei,Arttırılabilir Azami Bellek
HP,42561.92,Intel Core i5,4 TB,48 GB,Intel UHD Graphics 770,Yok,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,14,13. Nesil,13500,1920 x 1080,180 - 250 W,Ofis - İş,Paylaşımlı,1.8,USB,4 kg ve üzeri,23.8 inç,2.00 GHz - 2.40 GHz,75 Hz,IPS,,64 GB
DAGMOR,23050.0,Intel Core i7,500 GB,16 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,İthalatçı Garantili,DDR4,8,Belirtilmemiş,Belirtilmemiş,1920 x 1080,350 - 500 W,Ofis - İş,Paylaşımlı,2.5,,2 - 4 kg,23.8 inç,2.50 GHz - 3.00 GHz,,,TR,64 GB
Zeiron,5899.0,Intel Core i5,,,AMD Radeon R5,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,,4,1. Nesil,300U,,250 - 350 W,Ev - Okul,4 GB ve altı,,,2 kg ve altı,,3.00 GHz üstü,,,,8 GB
Corsair,80697.69,AMD Ryzen 5,1 TB,32 GB,Nvidia GeForce RTX 4070,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,İthalatçı Garantili,DDR5,12+,5. Nesil,7800X,,500 W ve üstü,,12 GB,,,,,3.00 GHz üstü,,,,
RaXius,67329.0,Intel Core i7,1 TB,128 GB,Nvidia GeForce RTX 3070,128 GB,Linux,GDDR6,Harici,Resmi Distribütör Garantili,DDR5,20,14. Nesil,14700KF,,,,,,,,,,,,,
HP,36358.88,Intel Core i5,4 TB,8 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
Zeiron,5949.0,Intel Core i5,,,Nvidia GeForce GT 730,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,,4,1. Nesil,300U,,250 - 350 W,Ev - Okul,4 GB ve altı,,HDMI,2 kg ve altı,,3.00 GHz üstü,,,,8 GB
Oksid Bilişim Teknoloji,12240.38,Intel Core i5,256 GB,8 GB,Intel Iris Graphics,256 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,DDR4,6,12. Nesil,12400F,,,,,,,Belirtilmemiş,,,,,,
Gamepage,5299.0,Intel Core i5,,,Intel HD Graphics,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Resmi Distribütör Garantili,,4,2. Nesil,İ5-3470,,250 - 350 W,Ofis - İş,Paylaşımlı,3.2,Wi-Fi,2 kg ve altı,,3.00 GHz üstü,,,,16 GB
Tiwox,22742.69,Intel Core i5,,,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Belirtilmemiş,,Resmi Distribütör Garantili,,,,Belirtilmemiş,,,,,,,Belirtilmemiş,,,,,,
XASER,5265.24,Intel Core i7,,,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,,4,3. Nesil,3770,,,Ev - Okul,,,,Belirtilmemiş,,,,,,
HP,28149.0,Intel Core i7,512 GB,32 GB,Intel UHD Graphics 770,512 GB,Free Dos (İşletim Sistemi Yok),Belirtilmemiş,Dahili,Resmi Distribütör Garantili,,12+,13. Nesil,13700,,,,,,,,,,,,,
Zeiron,5749.0,Intel Core i5,,,Nvidia GeForce GT 730,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,,4,1. Nesil,300U,,250 - 350 W,Ev - Okul,4 GB ve altı,,HDMI,2 kg ve altı,,3.00 GHz üstü,,,,8 GB
HP,36976.22,Intel Core i5,4 TB,12 GB,AMD Radeon RX550,Yok,Free Dos (İşletim Sistemi Yok),GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,85499.49,Intel Core i7,4 TB,48 GB,Nvidia GeForce RTX 4060,Belirtilmemiş,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR5,20,14. Nesil,Belirtilmemiş,,,,,,,,,,,,,
HP,96499.49,Intel Core i7,4 TB,128 GB,Nvidia GeForce RTX 4060,Belirtilmemiş,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR5,20,14. Nesil,Belirtilmemiş,,,,,,,,,,,,,
Jedi,40250.0,Intel Core i3,128 GB,16 GB,Intel HD Graphics 5500,256 GB,Windows,DDR4,Dahili,İthalatçı Garantili,DDR4,4,6. Nesil,6100,4096 x 2160,,Ev - Okul,,2.5,HDMI,4 kg ve üzeri,,2.50 GHz - 3.00 GHz,60 Hz,IPS,,
HP,87499.49,Intel Core i7,2 TB,128 GB,Nvidia GeForce RTX 4060,Belirtilmemiş,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR5,20,14. Nesil,Belirtilmemiş,,,,,,,,,,,,,
HP,84899.49,Intel Core i7,4 TB,64 GB,Nvidia GeForce RTX 4060,Belirtilmemiş,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR5,20,14. Nesil,Belirtilmemiş,,,,,,,,,,,,,
HP,36358.88,Intel Core i5,4 TB,12 GB,Nvidia GeForce GT 730,4 TB,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,36336.63,Intel Core i5,4 TB,8 GB,Intel UHD Graphics 770,4 TB,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,36336.63,Intel Core i5,4 TB,12 GB,Intel UHD Graphics 770,4 TB,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,36398.93,Intel Core i5,4 TB,32 GB,Dahili Ekran Kartı,Yok,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,,,,,,,64 GB
HP,36398.93,Intel Core i5,4 TB,36 GB,Intel UHD Graphics 770,4 TB,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,36439.91,Intel Core i5,4 TB,40 GB,Intel UHD Graphics 770,4 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
Corsair,97882.35,AMD Ryzen 5,1 TB,32 GB,Nvidia GeForce RTX 4070,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,İthalatçı Garantili,DDR5,12+,5. Nesil,7800X,,500 W ve üstü,,12 GB,,,,,3.00 GHz üstü,,,,
HP,36937.37,Intel Core i5,4 TB,20 GB,Intel UHD Graphics 770,4 TB,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,93599.49,Intel Core i7,4 TB,128 GB,Nvidia GeForce RTX 4060,Belirtilmemiş,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR5,20,14. Nesil,Belirtilmemiş,,,,,,,,,,,,,
HP,30299.0,Intel Core i7,512 GB,32 GB,Intel UHD Graphics 770,512 GB,Free Dos (İşletim Sistemi Yok),Belirtilmemiş,Dahili,Resmi Distribütör Garantili,,12+,13. Nesil,13700,,,,,,,,,,,,,
Zeiron,5499.0,Intel Core i5,,,AMD Radeon R5,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,,4,1. Nesil,300U,,250 - 350 W,Ofis - İş,4 GB ve altı,,Wi-Fi,2 - 4 kg,,2.50 GHz - 3.00 GHz,,,,8 GB
Dell,43699.49,Intel Core i7,,,NVIDIA GeForce GT1030,Yok,Ubuntu,Belirtilmemiş,,Resmi Distribütör Garantili,,,12. Nesil,12700,,,Ofis - İş,,,,Belirtilmemiş,"21,5 inç",,,,,
MSI,64949.08,AMD Ryzen 5,1 TB,32 GB,Nvidia GeForce RTX 4060Ti,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,İthalatçı Garantili,DDR5,12+,5. Nesil,7600X,,500 W ve üstü,,16 GB,,,,,3.00 GHz üstü,,,TR,
HP,30649.8,Intel Core i5,1 TB,20 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,,23.8 inç,,,,,64 GB
HP,30555.69,Intel Core i5,256 GB,64 GB,AMD Radeon RX550,256 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
LENOVO,59835.0,Intel Core i7,1 TB,32 GB,Nvidia Quadro T400,Yok,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR5,12+,12. Nesil,12700K,,500 W ve üstü,,4 GB ve altı,,,,,,,,,128 GB
HP,87399.49,Intel Core i7,1 TB,128 GB,Nvidia GeForce RTX 4060,Belirtilmemiş,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR5,20,14. Nesil,Belirtilmemiş,,,,,,,,,,,,,
HP,30383.03,Intel Core i3,4 TB,16 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,,,,,,64 GB
HP,30383.03,Intel Core i3,4 TB,20 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,,,,,,64 GB
HP,38072.09,Intel Core i5,4 TB,20 GB,AMD Radeon RX550,4 TB,Windows,GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,37304.45,Intel Core i3,4 TB,64 GB,Nvidia GeForce GT 730,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Harici,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
HP,37557.43,AMD Ryzen 3,4 TB,64 GB,AMD Radeon Graphics,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,4,5. Nesil,5300G,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
HP,19759.0,Intel Core i5,,,Dahili Ekran Kartı,512 GB,Free Dos (İşletim Sistemi Yok),Belirtilmemiş,,HP Türkiye Garantili,,,,12500,,,,,,,,,,,,,
HP,33099.0,Intel Core i7,2 TB,32 GB,Intel UHD Graphics 770,512 GB,Free Dos (İşletim Sistemi Yok),Belirtilmemiş,Dahili,Resmi Distribütör Garantili,,12+,13. Nesil,13700,,,,,,,,,,,,,
HP,39451.55,Intel Core i5,4 TB,12 GB,AMD Radeon RX550,4 TB,Windows,GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,39042.16,Intel Core i5,4 TB,64 GB,Dahili Ekran Kartı,Yok,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,,,,,,,64 GB
HP,39298.54,Intel Core i5,4 TB,36 GB,AMD Radeon RX550,Yok,Free Dos (İşletim Sistemi Yok),GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,39285.89,Intel Core i5,4 TB,40 GB,NVIDIA GeForce GT1030,Yok,Free Dos (İşletim Sistemi Yok),GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,38939.82,Intel Core i5,4 TB,20 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,38602.85,Intel Core i5,4 TB,36 GB,NVIDIA GeForce GT1030,Yok,Free Dos (İşletim Sistemi Yok),GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,38401.38,Intel Core i5,4 TB,32 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,31769.27,Intel Core i5,1 TB,48 GB,Nvidia GeForce GT 730,1 TB,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,33434.55,Intel Core i5,4 TB,12 GB,Intel UHD Graphics 770,4 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,31166.88,Intel Core i5,2 TB,48 GB,Intel UHD Graphics 770,2 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,32659.82,Intel Core i3,4 TB,20 GB,Nvidia GeForce GT 730,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Harici,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
HP,31788.19,Intel Core i5,1 TB,20 GB,Nvidia GeForce GTX 1650,Yok,Free Dos (İşletim Sistemi Yok),GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,31747.02,Intel Core i5,1 TB,48 GB,Dahili Ekran Kartı,Yok,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,,,,,,,64 GB
HP,32022.32,Intel Core i3,4 TB,32 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,,,,,,64 GB
HP,32022.32,Intel Core i3,4 TB,36 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,,,,,,64 GB
HP,32659.82,Intel Core i3,4 TB,16 GB,Nvidia GeForce GT 730,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Harici,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,,,,,,64 GB
HP,32806.16,Intel Core i5,2 TB,64 GB,Intel UHD Graphics 770,2 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,33434.55,Intel Core i5,4 TB,8 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,,,,,,,64 GB
HP,32701.43,Intel Core i5,1 TB,64 GB,NVIDIA GeForce GT1030,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
LENOVO,36490.5,Intel Core i5,4 TB,48 GB,NVIDIA GeForce GT1030,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Harici,Lenovo Türkiye Garantili,DDR4,6,12. Nesil,12400,,,,4 GB ve altı,2.2,USB,4 kg ve üzeri,,,,,,64 GB
HP,32912.79,AMD Ryzen 3,4 TB,20 GB,AMD Radeon Graphics,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,4,5. Nesil,5300G,,,Ofis - İş,Paylaşımlı,,USB,,,,,,,64 GB
HP,33443.66,Intel Core i5,2 TB,48 GB,Nvidia GeForce GT 730,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,79599.49,Intel Core i7,1 TB,96 GB,Nvidia GeForce RTX 4060,Belirtilmemiş,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR5,20,14. Nesil,Belirtilmemiş,,,,,,,,,,,,,
HP,30049.0,Intel Core i7,1 TB,32 GB,Intel UHD Graphics 770,512 GB,Free Dos (İşletim Sistemi Yok),Belirtilmemiş,Dahili,Resmi Distribütör Garantili,,12+,13. Nesil,13700,,,,,,,,,,,,,
HP,83399.49,Intel Core i7,4 TB,32 GB,Nvidia GeForce RTX 4060,Belirtilmemiş,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR5,20,14. Nesil,Belirtilmemiş,,,,,,,,,,,,,
Zeiron,4399.0,Intel Core i5,,,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Resmi Distribütör Garantili,,4,1. Nesil,300U,1920 x 1080,250 - 350 W,Ev - Okul,Paylaşımlı,3,HDMI,2 kg ve altı,,3.00 GHz üstü,,,,8 GB
Quadro,5450.0,,,,,,,,,,,,,4460,,,,,,,Belirtilmemiş,,,,,,
LENOVO,84443.0,AMD Ryzen 9,,,Nvidia GeForce RTX 3080,Yok,Windows,GDDR6X,Harici,Resmi Distribütör Garantili,,12+,5. Nesil,Belirtilmemiş,,,,,,,Belirtilmemiş,,,,,,
LENOVO,87104.0,AMD Ryzen 9,,,Nvidia GeForce RTX 3080,Yok,Windows,GDDR6X,Harici,Resmi Distribütör Garantili,,12+,5. Nesil,Belirtilmemiş,,,,,,,Belirtilmemiş,,,,,,
Rexdragon,47403.26,Intel Xeon,32 GB,48 GB,Nvidia GeForce RTX 4090Ti,5 TB,Windows,Dahili,Harici,ACER Türkiye Garantili,DD2,10,5. Nesil,4800HS,,,,,,,,,,,,,
LENOVO,90899.0,Intel Core i7,,,Nvidia RTX A2000,2 TB,Windows,GDDR6,Harici,Resmi Distribütör Garantili,,16,13. Nesil,13700,,,,12 GB,,DVI - HDMI,Belirtilmemiş,,,,,,
HP,27123.6,Intel Core i5,1 TB,20 GB,Intel UHD Graphics 770,1 TB,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
LENOVO,84699.0,Intel Core i7,,,Nvidia RTX A2000,Yok,Windows,GDDR6,Harici,Lenovo Türkiye Garantili,,8,13. Nesil,13700,,,,,,,Belirtilmemiş,,,,,,
HP,27267.77,Intel Core i5,,,Intel UHD Graphics 770,256 GB,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,,,,,,,64 GB
LENOVO,88299.0,Intel Core i7,,,Nvidia RTX A2000,1 TB,Windows,GDDR6,Harici,Resmi Distribütör Garantili,,16,13. Nesil,13700,,,,12 GB,,DVI - HDMI,Belirtilmemiş,,,,,,
LENOVO,96499.0,Intel Core i7,,,Nvidia RTX A2000,4 TB,Windows,GDDR6,Harici,Resmi Distribütör Garantili,,16,13. Nesil,13700,,,,12 GB,,DVI - HDMI,Belirtilmemiş,,,,,,
LENOVO,88399.0,Intel Core i7,,,Nvidia RTX A2000,2 TB,Windows,GDDR6,Harici,Resmi Distribütör Garantili,,16,13. Nesil,13700,,,,12 GB,,DVI - HDMI,Belirtilmemiş,,,,,,
HP,28161.53,Intel Core i5,2 TB,16 GB,Intel UHD Graphics 770,2 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,79399.49,Intel Core i7,2 TB,48 GB,Nvidia GeForce RTX 4060,Belirtilmemiş,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR5,20,14. Nesil,Belirtilmemiş,,,,,,,,,,,,,
LENOVO,90699.0,Intel Core i7,,,Nvidia RTX A2000,1 TB,Windows,GDDR6,Harici,Resmi Distribütör Garantili,,16,13. Nesil,13700,,,,12 GB,,DVI - HDMI,Belirtilmemiş,,,,,,
Grundig,5666.0,Intel Core i5,128 GB,8 GB,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,4,3. Nesil,1000M,,,,,,,,,,,,,
HP,49735.0,Intel Xeon,512 GB,32 GB,Nvidia RTX A4000,512 GB,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR4,8,13. Nesil,13700,,500 W ve üstü,Tasarım,16 GB,,,,,,,,US,
HP,51031.56,Intel Core i5,4 TB,64 GB,Nvidia GeForce GTX 1650,Yok,Free Dos (İşletim Sistemi Yok),GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,29860.01,Intel Core i5,256 GB,64 GB,NVIDIA GeForce GT1030,256 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,29809.92,Intel Core i5,1 TB,40 GB,Nvidia GeForce GT 730,1 TB,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,46386.92,Intel Core i5,4 TB,16 GB,Nvidia GeForce GTX 1650,Yok,Free Dos (İşletim Sistemi Yok),GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,46050.73,Intel Core i5,4 TB,64 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,29290.81,Intel Core i5,256 GB,64 GB,Nvidia GeForce GT 730,256 GB,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,46606.96,Intel Core i5,4 TB,64 GB,NVIDIA GeForce GT1030,Yok,Windows,GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,46356.56,Intel Core i5,4 TB,48 GB,AMD Radeon RX550,Yok,Free Dos (İşletim Sistemi Yok),GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,46730.97,Intel Core i5,4 TB,64 GB,Nvidia GeForce GT 730,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,46500.17,Intel Core i5,4 TB,32 GB,AMD Radeon RX550,Yok,Windows,GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,23.8 inç,,,,,64 GB
HP,23052.43,Intel Core i5,256 GB,24 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,,,,,,,64 GB
HP,25329.21,Intel Core i5,512 GB,16 GB,Nvidia GeForce GT 730,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,23052.43,Intel Core i5,512 GB,20 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,,,,,,,64 GB
HP,39440.43,Intel Core i5,4 TB,16 GB,AMD Radeon RX550,4 TB,Windows,GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,38939.82,Intel Core i5,4 TB,16 GB,Nvidia GeForce GT 730,4 TB,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,38827.37,Intel Core i3,4 TB,48 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,23.8 inç,,,,,64 GB
HP,27697.06,Intel Core i5,512 GB,64 GB,Intel UHD Graphics 770,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,39740.79,Intel Core i5,4 TB,20 GB,Dahili Ekran Kartı,Yok,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,,23.8 inç,,,,,64 GB
